title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Dancer Looking at the Sole of Her Right Foot (Danseuse regardant la plante de son pied droit),"modeled c. 1896---1911, cast before 1932",1891-01-01,1/1/1916,bronze,2007.7,cmoa:things/85eca08f-8b49-4cce-a815-86b9c104eed6,Heinz Family Fund,2/1/2007,Fine Arts,"Gallery 8, Scaife Galleries",12.5,19,8.875,0,http://collection.cmoa.org/CollectionDetail.aspx?item=35983,"A. A. Hébrard, Paris, France [1]; purchased by Roger Waller, on October 31, 1931 [2]; private collection; Wildenstein & Co., Inc., New York, NY, by April 2006; purchased by Carnegie Museum of Art, Pittsburgh, PA, February 2007.

[1]. By arrangement with Degas' heirs, the original wax model was one of a series cast by Fonderie Hébrard (69/K).
[2]. Information from  Hébrard archives; see curatorial file for relevant bibliography.",sculpture,http://collection.cmoa.org/CollectionImage.aspx?irn=50160&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=50161&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=50162&size=Medium,cmoa:parties/23a88d6c-02e1-46e5-97a4-8246ca906f93,Person,Edgar Degas,"Degas, Edgar",,French,1834-07-19,9/27/1917,"Paris (Île-de-France, France)","Paris (Île-de-France, France)"
Fifth Avenue in Winter,c. 1892,1887-01-01,1897-01-01,oil on canvas,0.2,cmoa:things/0ad448ac-b58f-4440-a1f4-8eae9a58a8d2,Purchase,1/1/1900,Fine Arts,"Gallery 8, Scaife Galleries",28,22,3,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1000003,"Childe Hassam [1859-1935], New York, NY, until 1900; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, January 1900 [1]. 
NOTES:1. Updated by CGK July 2012.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=104633&size=Medium,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,8/27/1935,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)"
"The Great Bridge, Rouen (Le Grand Pont, Rouen)",1896,1896-01-01,1896-01-01,oil on canvas,0.9,cmoa:things/b87c04aa-6658-4846-b467-86a541a84eae,Purchase,12/12/1900,Fine Arts,"Gallery 8, Scaife Galleries",36.375,29.25,4.5,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1000057,"Camille Pissarro [1830-1903]; Durand-Ruel, Paris, bought from the artist on December 11, 1896 [1]; Durand-Ruel, New York, NY, by November 1,1900 [2]; purchased by Department of Fine Arts, Carnegie Institute, December 1900.
 
Notes:
[1]. See ""Pissarro: Critical Catalogue of Paintings"" by Joachim Pissarro and Claire Durand-Ruel Snollaerts, vol. 3, 2005, no. 1141. 
[2]. Shown at the Fifth Annual Exhibition at Carnegie Institute (Carnegie International), 1900, through Durand-Ruel, New York, NY.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=102885&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=129324&size=Medium,cmoa:parties/c1dd7099-a758-4e92-b2e1-2d9532369bcd,Person,Camille Pissarro,"Pissarro, Camille",,French,1830-07-10,11/12/1903,Charlotte Amalie (Virgin Islands of the United States) (Danish colony at the time),"Paris (Île-de-France, France)"
The Port of Trouville (Le Port de Trouville),1882,1882-01-01,1882-01-01,oil on canvas,5.5,cmoa:things/f580b37b-0422-4797-8bc1-86247b2255a6,Purchase,2/9/1905,Fine Arts,"Gallery 8, Scaife Galleries",26,18.25,2.5,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1000128,"Eugène Louis Boudin [1824-1898]. Durand-Ruel & Sons, New York, NY, by 1905; acquired by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, February 1905 [1].
 
Notes:
[1]. Acquired in even exchange with Boudin's ""The Beach, Trouville.""",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=113224&size=Medium,cmoa:parties/63c0c63b-3876-4410-abcf-cb11eca54e2d,Person,Eugène Louis Boudin,"Boudin, Eugène Louis",,French,1824-07-12,1898-08-08,"Honfleur (Calvados, Basse-Normandie, France)","Paris (Ville de Paris department, Île-de-France, France)"
River in Winter,c. 1890-1900,1885-01-01,1/1/1905,oil on canvas,7.4,cmoa:things/55b14501-d20c-46d9-b894-7027e2f88e9b,Purchase,11/19/1907,Fine Arts,"Gallery 8, Scaife Galleries",48,36,3,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1000315,"John Henry Twachtman [1853-1902], until August 1902; John Henry Twachtman estate and his widow, Martha Scudder Twachtman [1858-1935], Greenwich, CT, August 1902 until November 1907 [1]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1907 [2]. 

Notes:
[1]. The painting was no. 459 in the ""Eleventh Annual Exhibition"" held at Carnegie Institute, Pittsburgh, PA, April - June 1907. Mrs. Martha S. Twachtman (rather that the Twachtman estate) is listed in the catalogue as a lender to the exhibition.
[2]. Carnegie Institute purchased the painting from the exhibition through Silas S. Dustin, agent for the John H. Twachtman estate. The purchase deal involved, in part, exchange of ""Greenwich Hills"" (a painting by the artist, which had been acquired in 1905.) The present painting was accessioned on November 19, 1907.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=16445&size=Medium,cmoa:parties/c9b1daa9-f2a5-40b0-b80b-bfac4a038b9d,Person,John Henry Twachtman,"Twachtman, John H.",,American,1853-01-01,1/1/1902,"Cincinnati, Ohio","Gloucester, Massachusetts"
By the River,c. 1912,1/1/1907,1/1/1917,oil on canvas,1996.44,cmoa:things/3cd15553-598d-4b0c-8811-49e187fb6fd6,"Gift of Mrs. Edward Pitcairn and Dr. Jacob Goldblum, by exchange and purchased with Paintings Acquisition Fund",6/6/1996,Fine Arts,"Gallery 8, Scaife Galleries",56,50,5,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1002141,"Edward W. Redfield [1869-1965]; purchased by Sigmund Ojserkis [1870?-1943], Atlantic City, NJ, April 1, 1914 [1]. University Club, Pittsburgh, PA, until June 1996; purchased by Museum, June 1996. 
NOTES: [1] For background on this provenance, see correspondance with archivist of Pennsylvania Academy of the Fine Arts in curatorial file. This work was in the 109th Annual Exhibition at the PAFA in 1914, and was sold to Ojserkis from the exhibition for $2,500.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=115374&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=23529&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=57291&size=Medium,cmoa:parties/7c9636d4-514b-4b1b-abaa-abd988e80a6d,Person,Edward W. Redfield,"Redfield, Edward W.",,American,1869-01-01,1/1/1965,"Bridgeville (Sussex county, Delaware, United States)",
Giverny Winter,1888,1888-01-01,1888-01-01,oil on canvas,2000.51.1,cmoa:things/f2de5268-73da-4113-aea3-43c2a8171c67,Purchase with funds from an anonymous donor in honor of the late Adolph W. Schmidt,10/19/2000,Fine Arts,"Gallery 8, Scaife Galleries",17.75,13.75,2.5,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1004081,"John Leslie Breck [1860-1899]; Gaston and Clarisse Baudy, Giverny, France, in 1888; by descent through the Baudy Family, until 1993; sold at auction, Laurin, Guilloux, Buffetaux, Paris, June 14, 1993, lot B2; Jordan-Volpe Gallery, New York, NY; John and Mary McGuigan, Texas; Debra Force Fine Art, Inc., New York, NY; purchased by Carnegie Museum of Art, Pittsburgh, PA, October 2000.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=10335&size=Medium,cmoa:parties/aaebfed8-920a-49d8-a5e8-b96923bae76a,Person,John Leslie Breck,"Breck, John Leslie",,American,1860-01-01,1899-01-01, Hong Kong (China)," Boston (Suffolk county, Massachusetts, United States)"
Young Women Picking Fruit,1891,1891-01-01,1891-01-01,oil on canvas,22.8,cmoa:things/89649ae7-a33d-4f21-b309-ac7e0633b527,Patrons Art Fund,10/26/1922,Fine Arts,"Gallery 8, Scaife Galleries",35.5,51.75,2.5,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1004771,"Mary Cassatt [1844-1926], France; Galeries Durand-Ruel, Paris, France, by August 1892 [1]; Durand-Ruel Galleries, New York, NY, 1895; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, October 1922. 

Notes:
[1]. Recorded in stock book in August 1892.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=148520&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=148521&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=125753&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=129325&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=129326&size=Medium,cmoa:parties/a25d883f-0641-4500-b258-37d6bafc568b,Person,Mary Cassatt,"Cassatt, Mary",,American,1844-05-22,6/14/1926,"Pittsburgh (Allegheny City), PA","Le Mesnil-Théribus, France"
The Sea at Le Havre,1868,1868-01-01,1868-01-01,oil on canvas,53.22,cmoa:things/c5504912-4fce-440c-b41e-b18c1671b9f3,Purchase,6/3/1953,Fine Arts,"Gallery 8, Scaife Galleries",32.125,23.625,4,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1009147,"Claude Oscar Monet [1840-1926], France. Possibly M. Guillemet, by 1879 [1]. Bernheim-Jeune, Paris, France. Percy Turner, London, England. Private Collection, England; Arthur Tooth & Sons, Ltd., London, England; Sam Salz [1894-1981], Inc., New York, NY, by May 1953; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1953. 

Notes:
[1]. The painting was possibly exhibited in the 4th Impressionist Exhibition in 1879 as ""Etude de mer"", described in the catalogue as ""Appartient à M. Guillemet"". See ""The New Painting: Impressionism 1874-1886"", directed and coordinated by Charles S. Moffet with the assistance of Ruth Berson et al, Richard Burton SA, Publishers, Geneva, Switzerland, 1986, p. 269.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=132919&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=129327&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=129328&size=Medium,cmoa:parties/9c1016d9-7b4e-493a-9e79-1a54b384d115,Person,Claude Monet,"Monet, Claude",,French,1840-11-14,12/5/1926,"Paris (Île-de-France, France)","Giverny (Haute-Normandie, France)"
The Red Turban,1911,1/1/1911,1/1/1911,oil on canvas,56.15,cmoa:things/7a4dcafd-e52a-4244-8901-23fff42291d5,Patrons Art Fund,3/14/1956,Fine Arts,"Gallery 8, Scaife Galleries",39.5,47,3,0,http://collection.cmoa.org/CollectionDetail.aspx?item=1009622,"Hofrat Koch, Darmstadt, until 1917; Dr. Karl Lilienfeld [1885-1966], New York, NY, 1917 until 1956; Van Diemen-Lilienfeld Galleries [1930-], New York, NY, 1956; purchased by Museum, March 1956.",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=38156&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=367&size=Medium,cmoa:parties/06225ec9-2766-4d3d-8b05-303392134ae3,Person,H. Max Pechstein,"Pechstein, H. M.",,German,1881-01-01,1/1/1955,"Zwickau (Chemnitz district, Saxony, Germany)","Berlin (Berlin state, Germany)"
